technique_id,is_subtechnique,parent_id,name,tactics,tactic_ids,platforms,data_components,detection_guidance,mitigations,url,description
T1006,No,,Direct Volume Access,Stealth,TA0005,Network Devices; Windows,,,M1018 User Account Management | M1040 Behavior Prevention on Endpoint,https://attack.mitre.org/techniques/T1006,Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique may bypass Windows file access controls as well as file system monitoring tools.(Citation: Hakobyan 2009)
T1007,No,,System Service Discovery,Discovery,TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1007,"Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>. Adversaries may also gather information about schedule tasks via commands such as `schtasks` on Windows or `crontab -l` on Linux and macOS.(Citation: Elastic Security Labs GOSAR 2024)(Citation: SentinelLabs macOS Malware 2021)(Citation: Splunk Linux Gormir 2024)(Citation: Aquasec Kinsing 2020)"
T1008,No,,Fallback Channels,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1008,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.
T1010,No,,Application Window Discovery,Discovery,TA0007,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1010,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect as well as identifying security tooling ([Security Software Discovery](https://attack.mitre.org/techniques/T1518/001)) to evade.(Citation: ESET Grandoreiro April 2020)"
T1011,No,,Exfiltration Over Other Network Medium,Exfiltration,TA0010,Linux; macOS; Windows,,,M1028 Operating System Configuration | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1011,"Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel."
T1011.001,Yes,T1011,Exfiltration Over Bluetooth,Exfiltration,TA0010,Linux; macOS; Windows,,,M1028 Operating System Configuration | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1011/001,"Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an adversary may opt to exfiltrate data using a Bluetooth communication channel."
T1012,No,,Query Registry,Discovery,TA0007,Windows,,,,https://attack.mitre.org/techniques/T1012,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software."
T1014,No,,Rootkit,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1014,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. (Citation: Symantec Windows Rootkits) "
T1016,No,,System Network Configuration Discovery,Discovery,TA0007,ESXi; Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1016,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples include [Arp](https://attack.mitre.org/software/S0099), [ipconfig](https://attack.mitre.org/software/S0100)/[ifconfig](https://attack.mitre.org/software/S0101), [nbtstat](https://attack.mitre.org/software/S0102), and [route](https://attack.mitre.org/software/S0103)."
T1016.001,Yes,T1016,Internet Connection Discovery,Discovery,TA0007,Windows; Linux; macOS; ESXi,,,,https://attack.mitre.org/techniques/T1016/001,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites, or performing initial speed testing to confirm bandwidth."
T1016.002,Yes,T1016,Wi-Fi Discovery,Discovery,TA0007,Linux; Windows; macOS,,,,https://attack.mitre.org/techniques/T1016/002,"Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems. Adversaries may use Wi-Fi information as part of [Account Discovery](https://attack.mitre.org/techniques/T1087), [Remote System Discovery](https://attack.mitre.org/techniques/T1018), and other discovery or [Credential Access](https://attack.mitre.org/tactics/TA0006) activity to support both ongoing and future campaigns."
T1018,No,,Remote System Discovery,Discovery,TA0007,ESXi; Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1018,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as  [Ping](https://attack.mitre.org/software/S0097), <code>net view</code> using [Net](https://attack.mitre.org/software/S0039), or, on ESXi servers, `esxcli network diag ping`."
T1020,No,,Automated Exfiltration,Exfiltration,TA0010,Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1020,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.(Citation: ESET Gamaredon June 2020) "
T1020.001,Yes,T1020,Traffic Duplication,Exfiltration,TA0010,Network Devices; IaaS,,,M1018 User Account Management | M1041 Encrypt Sensitive Information | M1057 Data Loss Prevention,https://attack.mitre.org/techniques/T1020/001,"Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure. Traffic mirroring is a native feature for some devices, often used for network analysis. For example, devices may be configured to forward network traffic to one or more destinations for analysis by a network analyzer or other monitoring device. (Citation: Cisco Traffic Mirroring)(Citation: Juniper Traffic Mirroring)"
T1021,No,,Remote Services,Lateral Movement,TA0008,Linux; macOS; Windows; IaaS; ESXi,,,M1018 User Account Management | M1027 Password Policies | M1032 Multi-factor Authentication | M1035 Limit Access to Resource Over Network | M1042 Disable or Remove Feature or Program | M1047 Audit,https://attack.mitre.org/techniques/T1021,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user."
T1021.001,Yes,T1021,Remote Desktop Protocol,Lateral Movement,TA0008,Windows,,,M1018 User Account Management | M1026 Privileged Account Management | M1028 Operating System Configuration | M1030 Network Segmentation | M1032 Multi-factor Authentication | M1035 Limit Access to Resource Over Network | M1042 Disable or Remove Feature or Program | M1047 Audit,https://attack.mitre.org/techniques/T1021/001,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.
T1021.002,Yes,T1021,SMB/Windows Admin Shares,Lateral Movement,TA0008,Windows,,,M1026 Privileged Account Management | M1027 Password Policies | M1035 Limit Access to Resource Over Network | M1037 Filter Network Traffic,https://attack.mitre.org/techniques/T1021/002,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.
T1021.003,Yes,T1021,Distributed Component Object Model,Lateral Movement,TA0008,Windows,,,M1026 Privileged Account Management | M1030 Network Segmentation | M1042 Disable or Remove Feature or Program | M1048 Application Isolation and Sandboxing,https://attack.mitre.org/techniques/T1021/003,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM). The adversary may then perform actions as the logged-on user.
T1021.004,Yes,T1021,SSH,Lateral Movement,TA0008,ESXi; Linux; macOS,,,M1018 User Account Management | M1032 Multi-factor Authentication | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1021/004,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.
T1021.005,Yes,T1021,VNC,Lateral Movement,TA0008,Linux; Windows; macOS,,,M1033 Limit Software Installation | M1037 Filter Network Traffic | M1042 Disable or Remove Feature or Program | M1047 Audit,https://attack.mitre.org/techniques/T1021/005,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the RFB (“remote framebuffer”) protocol to enable users to remotely control another computer’s display by relaying the screen, mouse, and keyboard inputs over the network.(Citation: The Remote Framebuffer Protocol)"
T1021.006,Yes,T1021,Windows Remote Management,Lateral Movement,TA0008,Windows,,,M1026 Privileged Account Management | M1030 Network Segmentation | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1021/006,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote systems using Windows Remote Management (WinRM). The adversary may then perform actions as the logged-on user.
T1021.007,Yes,T1021,Cloud Services,Lateral Movement,TA0008,IaaS; Identity Provider; Office Suite; SaaS,,,M1026 Privileged Account Management | M1032 Multi-factor Authentication,https://attack.mitre.org/techniques/T1021/007,Adversaries may log into accessible cloud services within a compromised environment using [Valid Accounts](https://attack.mitre.org/techniques/T1078) that are synchronized with or federated to on-premises user identities. The adversary may then perform management actions or access cloud-hosted resources as the logged-on user. 
T1021.008,Yes,T1021,Direct Cloud VM Connections,Lateral Movement,TA0008,IaaS,,,M1018 User Account Management | M1042 Disable or Remove Feature or Program,https://attack.mitre.org/techniques/T1021/008,"Adversaries may leverage [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log directly into accessible cloud hosted compute infrastructure through cloud native methods. Many cloud providers offer interactive connections to virtual infrastructure that can be accessed through the [Cloud API](https://attack.mitre.org/techniques/T1059/009), such as Azure Serial Console(Citation: Azure Serial Console), AWS EC2 Instance Connect(Citation: EC2 Instance Connect)(Citation: lucr-3: Getting SaaS-y in the cloud), and AWS System Manager.(Citation: AWS System Manager)."
T1025,No,,Data from Removable Media,Collection,TA0009,Linux; macOS; Windows,,,M1057 Data Loss Prevention,https://attack.mitre.org/techniques/T1025,"Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive command shells may be in use, and common functionality within [cmd](https://attack.mitre.org/software/S0106) may be used to gather information. "
T1027,No,,Obfuscated Files or Information,Stealth,TA0005,ESXi; Linux; macOS; Network Devices; Windows,,,M1017 User Training | M1040 Behavior Prevention on Endpoint | M1047 Audit | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses. "
T1027.001,Yes,T1027,Binary Padding,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1027/001,"Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitations. "
T1027.002,Yes,T1027,Software Packing,Stealth,TA0005,Linux; macOS; Windows,,,M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/002,Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable. Packing an executable changes the file signature in an attempt to avoid signature-based detection. Most decompression techniques decompress the executable code in memory. Virtual machine software protection translates an executable's original code into a special format that only a special virtual machine can run. A virtual machine is then called to run this code.(Citation: ESET FinFisher Jan 2018) 
T1027.003,Yes,T1027,Steganography,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1027/003,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files."
T1027.004,Yes,T1027,Compile After Delivery,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1027/004,"Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code. Text-based source code files may subvert analysis and scrutiny from protections targeting executables/binaries. These payloads will need to be compiled before execution; typically via native utilities such as ilasm.exe(Citation: ATTACK IQ), csc.exe, or GCC/MinGW.(Citation: ClearSky MuddyWater Nov 2018)"
T1027.005,Yes,T1027,Indicator Removal from Tools,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1027/005,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems."
T1027.006,Yes,T1027,HTML Smuggling,Stealth,TA0005,Linux; macOS; Windows,,,M1048 Application Isolation and Sandboxing,https://attack.mitre.org/techniques/T1027/006,"Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into file-like objects. Data may also be stored in Data URLs, which enable embedding media type or MIME files inline of HTML documents. HTML5 also introduced a download attribute that may be used to initiate file downloads.(Citation: HTML Smuggling Menlo Security 2020)(Citation: Outlflank HTML Smuggling 2018)"
T1027.007,Yes,T1027,Dynamic API Resolution,Stealth,TA0005,Windows,,,,https://attack.mitre.org/techniques/T1027/007,"Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](https://attack.mitre.org/techniques/T1106) functions provided by the OS to perform various tasks such as those involving processes, files, and other system artifacts."
T1027.008,Yes,T1027,Stripped Payloads,Stealth,TA0005,Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1027/008,"Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information. Scripts and executables may contain variables names and other strings that help developers document code functionality. Symbols are often created by an operating system’s `linker` when executable payloads are compiled. Reverse engineers use these symbols and strings to analyze code and to identify functionality in payloads.(Citation: Mandiant golang stripped binaries explanation)(Citation: intezer stripped binaries elf files 2018)"
T1027.009,Yes,T1027,Embedded Payloads,Stealth,TA0005,Linux; macOS; Windows,,,M1040 Behavior Prevention on Endpoint | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/009,"Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable adversaries to [Subvert Trust Controls](https://attack.mitre.org/techniques/T1553) by not impacting execution controls such as digital signatures and notarization tickets.(Citation: Sentinel Labs) "
T1027.010,Yes,T1027,Command Obfuscation,Stealth,TA0005,Linux; macOS; Windows,,,M1040 Behavior Prevention on Endpoint | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/010,"Adversaries may obfuscate content during command execution to impede detection. Command-line obfuscation is a method of making strings and patterns within commands and scripts more difficult to signature and analyze. This type of obfuscation can be included within commands executed by delivered payloads (e.g., [Phishing](https://attack.mitre.org/techniques/T1566) and [Drive-by Compromise](https://attack.mitre.org/techniques/T1189)) or interactively via [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059).(Citation: Akamai JS)(Citation: Malware Monday VBE)"
T1027.011,Yes,T1027,Fileless Storage,Stealth,TA0005,Linux; Windows,,,M1047 Audit,https://attack.mitre.org/techniques/T1027/011,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common examples of non-volatile fileless storage in Windows systems include the Windows Registry, event logs, or WMI repository.(Citation: Microsoft Fileless)(Citation: SecureList Fileless) Shared memory directories on Linux systems (`/dev/shm`, `/run/shm`, `/var/run`, and `/var/lock`) and volatile directories on Network Devices (`/tmp` and `/volatile`) may also be considered fileless storage, as files written to these directorie"
T1027.012,Yes,T1027,LNK Icon Smuggling,Stealth,TA0005,Windows,,,M1040 Behavior Prevention on Endpoint | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/012,"Adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files. Windows shortcut files (.LNK) include many metadata fields, including an icon location field (also known as the `IconEnvironmentDataBlock`) designed to specify the path to an icon file that is to be displayed for the LNK file within a host directory. "
T1027.013,Yes,T1027,Encrypted/Encoded File,Stealth,TA0005,Linux; macOS; Windows,,,M1040 Behavior Prevention on Endpoint | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/013,"Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection. Encrypting and/or encoding file content aims to conceal malicious artifacts within a file used in an intrusion. Many other techniques, such as [Software Packing](https://attack.mitre.org/techniques/T1027/002), [Steganography](https://attack.mitre.org/techniques/T1027/003), and [Embedded Payloads](https://attack.mitre.org/techniques/T1027/009), share this same broad objective. Encrypting and/or encoding files could lead to a lapse in detection of static signatures, only for this"
T1027.014,Yes,T1027,Polymorphic Code,Stealth,TA0005,Linux; macOS; Windows,,,M1040 Behavior Prevention on Endpoint | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/014,"Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection. Polymorphic code is a type of software capable of changing its runtime footprint during code execution.(Citation: polymorphic-blackberry) With each execution of the software, the code is mutated into a different version of itself that achieves the same purpose or objective as the original. This functionality enables the malware to evade traditional signature-based defenses, such as antivirus and antimalware tools.(Citation: polymorphic-sentinelone) "
T1027.015,Yes,T1027,Compression,Stealth,TA0005,Linux; macOS; Windows,,,M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/015,"Adversaries may use compression to obfuscate their payloads or files. Compressed file formats such as ZIP, gzip, 7z, and RAR can compress and archive multiple files together to make it easier and faster to transfer files. In addition to compressing files, adversaries may also compress shellcode directly - for example, in order to store it in a Windows Registry key (i.e., [Fileless Storage](https://attack.mitre.org/techniques/T1027/011)).(Citation: Trustwave Pillowmint June 2020)"
T1027.016,Yes,T1027,Junk Code Insertion,Stealth,TA0005,Linux; macOS; Windows,,,M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1027/016,"Adversaries may use junk code / dead code to obfuscate a malware’s functionality. Junk code is code that either does not execute, or if it does execute, does not change the functionality of the code. Junk code makes analysis more difficult and time-consuming, as the analyst steps through non-functional code instead of analyzing the main code. It also may hinder detections that rely on static code analysis due to the use of benign functionality, especially when combined with [Compression](https://attack.mitre.org/techniques/T1027/015) or [Software Packing](https://attack.mitre.org/techniques/T1"
T1027.017,Yes,T1027,SVG Smuggling,Stealth,TA0005,Linux; macOS; Windows,,,M1048 Application Isolation and Sandboxing,https://attack.mitre.org/techniques/T1027/017,"Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign SVG files.(Citation: Trustwave SVG Smuggling 2025) SVGs, or Scalable Vector Graphics, are vector-based image files constructed using XML. As such, they can legitimately include `<script>` tags that enable adversaries to include malicious JavaScript payloads. However, SVGs may appear less suspicious to users than other types of executable files, as they are often treated as image files. "
T1027.018,Yes,T1027,Invisible Unicode,Stealth,TA0005,Linux; macOS; Windows,,,,https://attack.mitre.org/techniques/T1027/018,"Adversaries may abuse invisible or non-printing Unicode characters to conceal malicious content within files, scripts, or text. By inserting characters that do not visibly render, adversaries may hide data, alter how content is interpreted, or make malicious code appear as benign text or whitespace. Adversaries may encode these malicious payloads, using binary, Base64, or custom schemes, to be reconstructed at runtime through scripting features such as [JavaScript](https://attack.mitre.org/techniques/T1059/007) Proxy traps, `eval()`, or other dynamic execution methods. This technique enables a"
T1029,No,,Scheduled Transfer,Exfiltration,TA0010,Linux; macOS; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1029,Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.
T1030,No,,Data Transfer Size Limits,Exfiltration,TA0010,Linux; macOS; Windows; ESXi,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1030,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.
T1033,No,,System Owner/User Discovery,Discovery,TA0007,Linux; macOS; Network Devices; Windows,,,,https://attack.mitre.org/techniques/T1033,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using [OS Credential Dumping](https://attack.mitre.org/techniques/T1003). The information may be collected in a number of different ways using other Discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs. Adversaries may use"
T1036,No,,Masquerading,Stealth,TA0005,Containers; ESXi; Linux; macOS; Windows,,,M1017 User Training | M1018 User Account Management | M1022 Restrict File and Directory Permissions | M1038 Execution Prevention | M1040 Behavior Prevention on Endpoint | M1045 Code Signing | M1047 Audit | M1049 Antivirus/Antimalware,https://attack.mitre.org/techniques/T1036,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation. This may include manipulating file metadata, tricking users into misidentifying the file type, and giving legitimate task or service names."
